stock,stock_close,stock_index,date,index,close,ind_index
PEP,1.553241,100,1972-06-01,GSPC,107.14,100
PEP,1.6180561,104.17289,1972-07-01,GSPC,107.39,100.23334
PEP,1.597222,102.83156,1972-08-01,GSPC,111.09,103.68676
PEP,1.543981,99.403824,1972-09-01,GSPC,110.55,103.18275
PEP,1.546296,99.552872,1972-10-01,GSPC,111.58,104.14411
PEP,1.613426,103.8748,1972-11-01,GSPC,116.67,108.89491
PEP,1.613426,103.8748,1972-12-01,GSPC,118.05,110.18295
PEP,1.543981,99.403824,1973-01-01,GSPC,116.03,108.29755
PEP,1.527778,98.360657,1973-02-01,GSPC,111.68,104.23745
PEP,1.543981,99.403824,1973-03-01,GSPC,111.52,104.0881
PEP,1.550926,99.850952,1973-04-01,GSPC,106.97,99.841331
PEP,1.534722,98.807716,1973-05-01,GSPC,104.95,97.95594
PEP,1.5231479,98.062561,1973-06-01,GSPC,104.26,97.311928
PEP,1.578704,101.63934,1973-07-01,GSPC,108.22,101.00803
PEP,1.490741,95.976158,1973-08-01,GSPC,104.25,97.302597
PEP,1.578704,101.63934,1973-09-01,GSPC,108.43,101.20403
PEP,1.611111,103.72576,1973-10-01,GSPC,108.29,101.07336
PEP,1.240741,79.880775,1973-11-01,GSPC,95.959999,89.565056
PEP,1.284722,82.712341,1973-12-01,GSPC,97.550003,91.049095
PEP,1.217593,78.390472,1974-01-01,GSPC,96.57,90.134407
PEP,1.185185,76.303993,1974-02-01,GSPC,96.220001,89.807732
PEP,1.108796,71.385956,1974-03-01,GSPC,93.980003,87.71701
PEP,1.099537,70.789848,1974-04-01,GSPC,90.309998,84.29158
PEP,1.034722,66.616959,1974-05-01,GSPC,87.279999,81.463509
PEP,1.1319439,72.876259,1974-06-01,GSPC,86,80.268806
PEP,.914352,58.867363,1974-07-01,GSPC,79.309998,74.024635
PEP,.773148,49.776436,1974-08-01,GSPC,72.150002,67.341797
PEP,.57638901,37.108795,1974-09-01,GSPC,63.540001,59.305584
PEP,.78240699,50.372543,1974-10-01,GSPC,73.900002,68.975174
PEP,.74074101,47.690025,1974-11-01,GSPC,69.970001,65.307076
PEP,.75,48.286133,1974-12-01,GSPC,68.559998,63.991039
PEP,.92592603,59.612514,1975-01-01,GSPC,76.980003,71.849922
PEP,.95833302,61.698925,1975-02-01,GSPC,81.589996,76.152695
PEP,1.108796,71.385956,1975-03-01,GSPC,83.360001,77.804741
PEP,1.185185,76.303993,1975-04-01,GSPC,87.300003,81.482178
PEP,1.240741,79.880775,1975-05-01,GSPC,91.150002,85.075607
PEP,1.240741,79.880775,1975-06-01,GSPC,95.190002,88.846375
PEP,1.175926,75.707886,1975-07-01,GSPC,88.75,82.835541
PEP,1.099537,70.789848,1975-08-01,GSPC,86.879997,81.090157
PEP,1.076389,69.299545,1975-09-01,GSPC,83.870003,78.280754
